,state_smooth
2025-05-08 11:09:33.479,idle
2025-05-08 11:09:34.911,idle
2025-05-08 11:09:36.138,idle
2025-05-08 11:09:37.246,idle
2025-05-08 11:09:38.321,idle
2025-05-08 11:09:39.441,idle
2025-05-08 11:09:40.540,idle
2025-05-08 11:09:41.752,idle
2025-05-08 11:09:43.172,idle
2025-05-08 11:09:44.393,idle
2025-05-08 11:09:45.514,idle
2025-05-08 11:09:46.613,idle
2025-05-08 11:09:47.934,idle
2025-05-08 11:09:49.057,idle
2025-05-08 11:09:50.265,idle
2025-05-08 11:09:51.581,idle
2025-05-08 11:09:52.677,idle
2025-05-08 11:09:53.763,idle
2025-05-08 11:09:54.872,idle
2025-05-08 11:09:55.983,idle
2025-05-08 11:09:57.104,idle
2025-05-08 11:09:58.580,idle
2025-05-08 11:09:59.689,idle
2025-05-08 11:10:00.799,idle
2025-05-08 11:10:01.910,idle
2025-05-08 11:10:03.019,idle
2025-05-08 11:10:04.121,idle
2025-05-08 11:10:05.233,idle
2025-05-08 11:10:06.328,idle
2025-05-08 11:10:07.440,idle
2025-05-08 11:10:08.560,idle
2025-05-08 11:10:09.670,idle
2025-05-08 11:10:10.746,idle
2025-05-08 11:10:11.857,idle
2025-05-08 11:10:12.966,idle
2025-05-08 11:10:14.088,idle
2025-05-08 11:10:15.287,idle
2025-05-08 11:10:16.398,idle
2025-05-08 11:10:17.596,idle
2025-05-08 11:10:18.806,idle
2025-05-08 11:10:19.894,idle
2025-05-08 11:10:21.270,idle
2025-05-08 11:10:22.469,idle
2025-05-08 11:10:23.568,idle
2025-05-08 11:10:24.788,idle
2025-05-08 11:10:26.005,idle
2025-05-08 11:10:27.102,idle
2025-05-08 11:10:28.306,idle
2025-05-08 11:10:29.416,idle
2025-05-08 11:10:30.637,idle
2025-05-08 11:10:31.825,idle
2025-05-08 11:10:33.058,idle
2025-05-08 11:10:34.256,idle
2025-05-08 11:10:35.355,idle
2025-05-08 11:10:36.587,idle
2025-05-08 11:10:37.686,idle
2025-05-08 11:10:38.906,idle
2025-05-08 11:10:40.128,idle
2025-05-08 11:10:41.249,idle
2025-05-08 11:10:42.346,idle
2025-05-08 11:10:43.447,idle
2025-05-08 11:10:44.556,idle
2025-05-08 11:10:45.654,idle
2025-05-08 11:10:46.964,idle
2025-05-08 11:10:48.046,idle
2025-05-08 11:10:49.259,idle
2025-05-08 11:10:50.327,idle
2025-05-08 11:10:51.436,idle
2025-05-08 11:10:52.546,idle
2025-05-08 11:10:53.623,idle
2025-05-08 11:10:54.844,idle
2025-05-08 11:10:56.176,idle
2025-05-08 11:10:57.385,idle
2025-05-08 11:10:58.495,idle
2025-05-08 11:10:59.716,idle
2025-05-08 11:11:00.914,idle
2025-05-08 11:11:02.033,idle
2025-05-08 11:11:03.134,idle
2025-05-08 11:11:04.227,idle
2025-05-08 11:11:05.332,idle
2025-05-08 11:11:06.855,idle
2025-05-08 11:11:08.049,idle
2025-05-08 11:11:09.250,idle
2025-05-08 11:11:10.586,idle
2025-05-08 11:11:11.691,idle
2025-05-08 11:11:12.789,idle
2025-05-08 11:11:13.899,idle
2025-05-08 11:11:15.016,idle
2025-05-08 11:11:16.108,idle
2025-05-08 11:11:17.223,idle
2025-05-08 11:11:18.365,idle
2025-05-08 11:11:19.457,idle
2025-05-08 11:11:20.567,idle
2025-05-08 11:11:21.666,idle
2025-05-08 11:11:22.776,idle
2025-05-08 11:11:24.006,idle
2025-05-08 11:11:25.087,idle
2025-05-08 11:11:26.215,idle
2025-05-08 11:11:27.313,idle
2025-05-08 11:11:28.435,idle
2025-05-08 11:11:29.543,idle
2025-05-08 11:11:30.653,idle
2025-05-08 11:11:31.752,idle
2025-05-08 11:11:32.862,idle
2025-05-08 11:11:34.193,idle
2025-05-08 11:11:35.303,idle
2025-05-08 11:11:36.390,idle
2025-05-08 11:11:37.933,idle
2025-05-08 11:11:39.143,idle
2025-05-08 11:11:40.257,idle
2025-05-08 11:11:41.362,idle
2025-05-08 11:11:42.472,idle
2025-05-08 11:11:43.670,idle
2025-05-08 11:11:44.769,idle
2025-05-08 11:11:46.237,idle
2025-05-08 11:11:47.310,idle
2025-05-08 11:11:48.198,idle
2025-05-08 11:11:48.753,idle
2025-05-08 11:11:49.640,idle
2025-05-08 11:11:50.739,idle
2025-05-08 11:11:52.157,idle
2025-05-08 11:11:53.148,idle
2025-05-08 11:11:54.259,idle
2025-05-08 11:11:55.366,idle
2025-05-08 11:11:56.477,idle
2025-05-08 11:11:57.575,idle
2025-05-08 11:11:58.895,idle
2025-05-08 11:12:00.117,idle
2025-05-08 11:12:01.233,idle
2025-05-08 11:12:02.339,idle
2025-05-08 11:12:03.435,idle
2025-05-08 11:12:04.512,idle
2025-05-08 11:12:05.610,idle
2025-05-08 11:12:07.287,idle
2025-05-08 11:12:08.507,idle
2025-05-08 11:12:09.607,idle
2025-05-08 11:12:10.684,idle
2025-05-08 11:12:11.783,idle
2025-05-08 11:12:12.882,idle
2025-05-08 11:12:14.211,idle
2025-05-08 11:12:15.401,idle
2025-05-08 11:12:16.855,idle
2025-05-08 11:12:17.954,idle
2025-05-08 11:12:19.053,idle
2025-05-08 11:12:20.274,idle
2025-05-08 11:12:21.496,idle
2025-05-08 11:12:22.705,idle
2025-05-08 11:12:23.815,idle
2025-05-08 11:12:25.021,idle
2025-05-08 11:12:26.124,idle
2025-05-08 11:12:27.577,off
2025-05-08 11:12:28.687,off
2025-05-08 11:12:29.897,off
2025-05-08 11:12:31.024,off
2025-05-08 11:12:32.110,off
2025-05-08 11:12:33.205,off
2025-05-08 11:12:34.313,off
2025-05-08 11:12:35.435,off
2025-05-08 11:12:36.545,off
2025-05-08 11:12:37.655,off
2025-05-08 11:12:38.764,off
2025-05-08 11:12:39.874,off
2025-05-08 11:12:40.973,off
2025-05-08 11:12:42.083,off
2025-05-08 11:12:43.201,off
2025-05-08 11:12:44.326,off
2025-05-08 11:12:45.436,off
2025-05-08 11:12:46.534,off
2025-05-08 11:12:47.844,off
2025-05-08 11:12:48.953,off
2025-05-08 11:12:50.066,off
2025-05-08 11:12:51.284,off
2025-05-08 11:12:52.506,off
2025-05-08 11:12:53.883,off
2025-05-08 11:12:54.970,off
2025-05-08 11:12:56.107,off
2025-05-08 11:12:57.189,off
2025-05-08 11:12:58.389,off
2025-05-08 11:12:59.710,off
2025-05-08 11:13:00.909,off
2025-05-08 11:13:02.020,off
2025-05-08 11:13:03.128,off
2025-05-08 11:13:04.428,off
2025-05-08 11:13:05.615,off
2025-05-08 11:13:06.703,off
2025-05-08 11:13:07.801,off
2025-05-08 11:13:09.026,off
2025-05-08 11:13:10.255,off
2025-05-08 11:13:11.353,off
2025-05-08 11:13:12.452,off
2025-05-08 11:13:13.561,off
2025-05-08 11:13:14.770,off
2025-05-08 11:13:15.869,off
2025-05-08 11:13:16.979,off
2025-05-08 11:13:18.431,off
2025-05-08 11:13:19.632,off
2025-05-08 11:13:20.734,off
2025-05-08 11:13:21.841,off
2025-05-08 11:13:22.946,off
2025-05-08 11:13:24.160,off
2025-05-08 11:13:25.253,off
2025-05-08 11:13:26.356,off
2025-05-08 11:13:27.456,off
2025-05-08 11:13:28.565,off
2025-05-08 11:13:29.642,off
2025-05-08 11:13:31.296,off
2025-05-08 11:13:32.396,off
2025-05-08 11:13:33.594,off
2025-05-08 11:13:34.915,off
2025-05-08 11:13:36.326,off
2025-05-08 11:13:37.423,off
2025-05-08 11:13:38.511,off
2025-05-08 11:13:39.732,off
2025-05-08 11:13:40.953,off
2025-05-08 11:13:42.153,off
2025-05-08 11:13:43.261,off
2025-05-08 11:13:44.372,off
2025-05-08 11:13:45.581,off
2025-05-08 11:13:46.669,off
2025-05-08 11:13:47.779,off
2025-05-08 11:13:49.007,off
2025-05-08 11:13:50.311,off
2025-05-08 11:13:51.521,off
2025-05-08 11:13:52.609,off
2025-05-08 11:13:53.686,off
2025-05-08 11:13:54.796,off
2025-05-08 11:13:55.984,off
2025-05-08 11:13:56.534,off
2025-05-08 11:13:57.305,off
2025-05-08 11:13:58.504,off
2025-05-08 11:13:59.714,off
2025-05-08 11:14:00.924,off
2025-05-08 11:14:02.258,off
2025-05-08 11:14:03.466,off
2025-05-08 11:14:04.577,off
2025-05-08 11:14:06.177,off
2025-05-08 11:14:07.638,off
2025-05-08 11:14:08.740,off
2025-05-08 11:14:09.850,off
2025-05-08 11:14:11.089,off
2025-05-08 11:14:12.282,off
2025-05-08 11:14:13.492,off
2025-05-08 11:14:14.580,off
2025-05-08 11:14:15.669,off
2025-05-08 11:14:16.757,off
2025-05-08 11:14:17.855,off
2025-05-08 11:14:19.167,off
2025-05-08 11:14:20.265,off
2025-05-08 11:14:21.449,off
