,mean,std,energy,median,max,min,ptp,cluster,state,rolling_energy_max,rolling_energy_min,rolling_std_max,rolling_std_min,cluster_smooth,state_smooth
2025-05-08 11:18:07.943,-2.4419493391180164e-05,0.03321493403689035,5.515058965090098,-0.0003031600445184701,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.545791767482436,5.515058965090098,0.03330735775334768,0.03321493403689035,1,off
2025-05-08 11:18:09.170,1.1201098165371238e-05,0.03313595774337719,5.488861113481823,-0.00030099708754472744,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.5350442313671415,5.488861113481823,0.033275055151271556,0.03313595774337719,1,off
2025-05-08 11:18:10.385,-1.9282787833969533e-05,0.03308302681931333,5.471340690103029,-0.0003149698624847691,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.53129804326007,5.471340690103029,0.03326379331127329,0.03308302681931333,1,off
2025-05-08 11:18:11.490,-4.434018596223676e-05,0.033064899387459004,5.465354400202889,-0.0003251785336626433,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.522053614065992,5.465354400202889,0.03323599927362071,0.033064899387459004,1,off
2025-05-08 11:18:12.600,-7.44944500188876e-05,0.03304764805670958,5.459670810474039,-0.0003518853895717887,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.515058965090098,5.459670810474039,0.03321493403689035,0.03304764805670958,1,off
2025-05-08 11:18:13.710,-0.00010516793831843263,0.0330350952800532,5.455551584767054,-0.000359738734564828,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.488861113481823,5.455551584767054,0.03313595774337719,0.0330350952800532,1,off
2025-05-08 11:18:14.798,-8.543468944498782e-05,0.032994756973807465,5.442217780246123,-0.00034641789181443725,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.471340690103029,5.442217780246123,0.03308302681931333,0.032994756973807465,1,off
2025-05-08 11:18:15.898,-0.00010095766766919218,0.03298361671153572,5.438557900149425,-0.00037201945429264844,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.465354400202889,5.438557900149425,0.033064899387459004,0.03298361671153572,1,off
2025-05-08 11:18:17.100,-7.541385168149106e-05,0.032931211976054954,5.4212675825822405,-0.0003518853895717887,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.459670810474039,5.4212675825822405,0.03304764805670958,0.032931211976054954,1,off
2025-05-08 11:18:18.185,-7.727545989005603e-05,0.032899989614443126,5.410994031319204,-0.000359738734564828,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.455551584767054,5.410994031319204,0.0330350952800532,0.032899989614443126,1,off
2025-05-08 11:18:19.382,-4.037093521191109e-05,0.03287613532973685,5.403128679883685,-0.000359738734564828,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.442217780246123,5.403128679883685,0.032994756973807465,0.03287613532973685,1,off
2025-05-08 11:18:20.581,-3.448866503941871e-05,0.03284747038853728,5.393708545658323,-0.000359738734564828,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.438557900149425,5.393708545658323,0.03298361671153572,0.03284747038853728,1,off
2025-05-08 11:18:21.702,-1.2986533456642447e-05,0.03280174225909181,5.3786963651144735,-0.00035678321210582417,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.4212675825822405,5.3786963651144735,0.032931211976054954,0.03280174225909181,1,off
2025-05-08 11:18:22.923,-1.92515390696754e-05,0.03279725367293112,5.377225435693266,-0.000359738734564828,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.410994031319204,5.377225435693266,0.032899989614443126,0.03279725367293112,1,off
2025-05-08 11:18:24.134,-2.753630367074501e-05,0.0326860596892689,5.340827902794337,-0.000359738734564828,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.403128679883685,5.340827902794337,0.03287613532973685,0.0326860596892689,1,off
2025-05-08 11:18:25.232,1.2549267476915794e-05,0.032632359330239204,5.323290293834361,-0.0003518853895717887,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.393708545658323,5.323290293834361,0.03284747038853728,0.032632359330239204,1,off
2025-05-08 11:18:26.347,2.8822071474955257e-05,0.03261769640897984,5.318510834581873,-0.00031828565399983017,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.3786963651144735,5.318510834581873,0.03280174225909181,0.03261769640897984,1,off
2025-05-08 11:18:27.452,2.7939653197929436e-05,0.03259225201316732,5.31021610467886,-0.0003251785336626433,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.377225435693266,5.31021610467886,0.03279725367293112,0.03259225201316732,1,off
2025-05-08 11:18:28.740,7.58071833803746e-05,0.03253855793767312,5.292758739209149,-0.00032097795458646864,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.340827902794337,5.292758739209149,0.0326860596892689,0.03253855793767312,1,off
2025-05-08 11:18:29.949,3.907359957923551e-05,0.03249819657407414,5.279615403786174,-0.000329368534309665,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.323290293834361,5.279615403786174,0.032632359330239204,0.03249819657407414,1,off
2025-05-08 11:18:31.171,9.031450403526259e-06,0.03247212262218963,5.27113970704049,-0.0003251785336626433,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.318510834581873,5.27113970704049,0.03261769640897984,0.03247212262218963,1,off
2025-05-08 11:18:32.381,1.864275239722979e-06,0.032435411158087075,5.259227446451415,-0.00031828565399983017,0.32773860241297514,-0.12186966898687587,0.44960827139985104,1,off,5.31021610467886,5.259227446451415,0.03259225201316732,0.032435411158087075,1,off
