,state_smooth
2025-05-08 13:31:28.000,idle
2025-05-08 13:31:28.500,idle
2025-05-08 13:31:29.000,idle
2025-05-08 13:31:29.500,idle
2025-05-08 13:31:30.000,idle
2025-05-08 13:31:30.500,idle
2025-05-08 13:31:31.000,idle
2025-05-08 13:31:31.500,idle
2025-05-08 13:31:32.000,idle
2025-05-08 13:31:32.500,idle
2025-05-08 13:31:33.000,idle
2025-05-08 13:31:33.500,idle
2025-05-08 13:31:34.000,idle
2025-05-08 13:31:34.500,idle
2025-05-08 13:31:35.000,idle
2025-05-08 13:31:35.500,idle
2025-05-08 13:31:36.000,idle
2025-05-08 13:31:36.500,idle
2025-05-08 13:31:37.000,idle
2025-05-08 13:31:37.500,idle
2025-05-08 13:31:38.000,idle
2025-05-08 13:31:38.500,idle
2025-05-08 13:31:39.000,idle
2025-05-08 13:31:39.500,idle
2025-05-08 13:31:40.000,idle
2025-05-08 13:31:40.500,idle
2025-05-08 13:31:41.000,idle
2025-05-08 13:31:41.500,idle
2025-05-08 13:31:42.000,idle
2025-05-08 13:31:42.500,idle
2025-05-08 13:31:43.000,idle
2025-05-08 13:31:43.500,idle
2025-05-08 13:31:44.000,idle
2025-05-08 13:31:44.500,idle
